state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
KS,-0.045487500000000014,0.027999999999999997,-0.007613043478260883,-0.038699999999999984,0.017285185185185188,0.0120142857142857,-0.036116666666666644,0.04592500000000001,0.046978571428571404,0.014851851851851847,-0.02445714285714285,0.003914285714285716,-0.03344838709677418,-0.011377419354838708,-0.013775862068965538,0.036986666666666675,-0.05806666666666664,-0.024796551724137937,0.021872413793103458,0.05539274622052036
KY,-0.07505483870967744,0.014670588235294116,-0.0461,0.04357666666666666,-0.04201000000000001,-0.019363333333333337,-0.010965625,-0.022825806451612897,-0.016369696969696982,0.07595454545454546,0.02012777777777778,0.02538709677419355,0.0025379310344827645,-0.018810714285714295,0.03215769230769232,0.01107241379310344,0.0047678571428571475,-0.0018444444444444387,0.021117857142857133,0.019430558300372307
LA,-0.040520833333333346,-0.03374814814814817,0.0018600000000000216,-0.05036818181818182,0.016207407407407393,-0.029148275862068952,-0.03660625000000001,0.01178611111111111,-0.04945517241379311,0.05073214285714286,0.01495666666666667,0.027506666666666662,0.013746428571428588,0.03294999999999997,-0.04391923076923075,-0.0451,0.05320333333333333,-0.021027272727272724,0.044472727272727275,0.04283935918270876
ME,-0.039105,-0.01786818181818182,0.04349545454545455,-0.024147619047619043,0.030528571428571422,0.0062190476190476214,-0.05613333333333335,0.03318095238095239,0.023964999999999997,0.01751578947368422,-0.03901904761904764,0.009050000000000022,0.010525000000000003,0.01853125,-0.004476470588235294,0.03337500000000001,-0.04806874999999999,0.03487058823529412,0.019437499999999993,0.01826898928377813
MD,-0.007075862068965511,0.0023818181818181694,-0.00961333333333334,-0.017560000000000003,0.033529411764705884,-0.03991176470588237,0.03405526315789472,0.025659459459459473,-0.002435483870967735,0.001948387096774192,-0.004441935483870971,0.02819000000000001,0.014126666666666655,0.0003933333333333395,-0.027225925925925928,0.040576923076923066,0.016538461538461544,0.045814814814814815,0.03040740740740742,0.015359502159731862
MA,-0.0336341463414634,-0.006851111111111117,0.027343956043956036,0.00677191011235955,-0.03737386363636365,-0.009827272727272724,0.010037931034482753,-0.0007799999999999959,0.006137037037037034,0.010897500000000001,-0.005517500000000004,0.014615476190476191,0.025639080459770112,-0.0016627906976744175,-0.00400120481927711,0.00026585365853659177,-0.009239240506329122,-0.003032911392405056,0.03383500000000001,0.025873042134332617
MN,-0.008735555555555566,-0.0057113636363636386,0.004373913043478259,-0.013233962264150956,0.024431481481481485,-0.02090877192982455,-0.021281818181818183,-0.0049563636363636416,0.0008097560975609731,-0.005949999999999994,0.015240000000000002,-0.016565217391304347,0.023705000000000018,-0.023372499999999994,-0.00807105263157895,0.005835135135135142,0.02341052631578946,0.007294444444444466,0.01579189189189186,0.018921732944717648
MS,-0.044477777777777804,0.05708421052631579,0.03031500000000001,-0.0007777777777777785,-0.011805555555555566,-0.019794736842105257,0.002389473684210535,-0.03636842105263159,-0.0036349999999999855,-0.013252380952380951,-0.02744000000000001,0.07152222222222224,0.10715625000000001,0.01716874999999999,-0.0011117647058823481,0.0424941176470588,0.03194117647058826,-0.042335294117647075,0.016400000000000012,-0.004574849931227071
MO,0.029752631578947388,0.026458333333333323,-0.030016666666666653,0.002576388888888888,-0.034,0.010346753246753233,4.4285714285727646e-05,0.03406901408450703,-0.026513114754098357,0.0061733333333333345,-0.010796721311475412,0.023974509803921563,0.00548571428571429,-0.012340000000000005,-0.0013599999999999966,0.034558181818181814,-0.031568421052631586,0.007536363636363636,0.036390909090909106,-0.021869280010167812
MT,0.004100000000000026,-0.016855555555555568,-0.0078000000000000135,-0.03825555555555554,-0.019337499999999997,0.059842857142857135,-0.02894285714285714,-0.018649999999999986,0.009949999999999981,-0.03367777777777779,0.03785000000000001,-0.010549999999999976,0.022388888888888903,-0.003722222222222219,-0.004077777777777797,0.03509999999999999,-0.02743,-0.011175000000000004,0.1100222222222222,-0.05111412948364622
