state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
OH,-1.3508771929824561,4.463768115942029,-0.027777777777777776,-0.5974025974025974,1.2236842105263157,4.805194805194805,3.8181818181818183,-2.2658227848101267,10.226666666666667,3.8767123287671232,0.527027027027027,8.56578947368421,-1.6901408450704225,5.777777777777778,-3.460526315789474,68.72151898734177,2.8625,-2.8461538461538463,-6.152777777777778,3.3661971830985915
OK,3.7777777777777777,-2.6923076923076925,13.533333333333333,-39.333333333333336,14.833333333333334,-11.75,0.2857142857142857,14.571428571428571,3.1,-0.2857142857142857,-1.9047619047619047,-1.8095238095238095,10.761904761904763,-15.619047619047619,-3.789473684210526,70.6,5.55,-1.9,-11.31578947368421,-19.647058823529413
OR,4.833333333333333,2.0,-0.5,8.666666666666666,-0.4090909090909091,-16.52173913043478,-2.5,6.142857142857143,2.2857142857142856,5.0,-6.571428571428571,-2.85,2.75,-3.3157894736842106,-4.555555555555555,70.11111111111111,0.4117647058823529,5.411764705882353,-4.3125,27.0
PA,3.6814159292035398,8.838709677419354,-1.3953488372093024,6.374045801526718,1.1615384615384616,-5.585365853658536,1.4959349593495934,5.454545454545454,-1.2033898305084745,0.8173913043478261,1.38135593220339,-1.1626016260162602,0.6486486486486487,0.9259259259259259,9.02803738317757,68.85436893203884,11.271844660194175,-0.900990099009901,-5.535211267605634,41.08791208791209
RI,1.1,9.444444444444445,2.6666666666666665,6.0,1.7777777777777777,1.3333333333333333,-1.6666666666666667,2.0,-6.666666666666667,3.5555555555555554,4.571428571428571,3.4285714285714284,3.5,9.0,-15.75,75.6,15.8,7.0,6.166666666666667,4.0
SC,-0.07142857142857142,0.7333333333333333,7.393939393939394,-3.1818181818181817,-0.030303030303030304,-1.1875,5.09375,2.375,-6.84375,-2.40625,5.40625,3.6363636363636362,-6.483870967741935,-7.67741935483871,12.0,58.096774193548384,4.033333333333333,-5.064516129032258,-5.068965517241379,19.8
SD,-2.625,-3.2857142857142856,-11.181818181818182,12.666666666666666,-15.333333333333334,9.666666666666666,3.0833333333333335,14.0,-10.909090909090908,2.5454545454545454,2.909090909090909,6.7272727272727275,-6.181818181818182,2.1818181818181817,-3.0,80.54545454545455,8.363636363636363,-2.909090909090909,-6.0,-0.4
TX,3.909090909090909,0.2631578947368421,4.280701754385965,19.5,-17.983606557377048,1.4,-2.0655737704918034,0.6290322580645161,9.741935483870968,3.238095238095238,-1.46875,1.34375,1.5538461538461539,-3.6029411764705883,-3.4782608695652173,74.15942028985508,7.632352941176471,-2.411764705882353,-3.4193548387096775,4.545454545454546
UT,-1.25,26.75,-5.5,0.5,8.666666666666666,-4.833333333333333,-1.1666666666666667,12.666666666666666,8.666666666666666,-0.2,6.0,3.2,0.0,6.6,-5.2,87.6,2.2,-10.8,20.2,10.8
VT,-1.3076923076923077,6.428571428571429,-9.666666666666666,12.285714285714286,2.5,-3.4285714285714284,3.090909090909091,5.083333333333333,1.4166666666666667,2.25,-0.08333333333333333,-3.5454545454545454,-2.0,14.428571428571429,-9.714285714285714,74.33333333333333,-4.5,14.0,-4.666666666666667,38.333333333333336
